,payment_id,payment_date,customer_id,employee_id,product_id
0,389032931,2023-03-23,8946605,511819,1VA01927XT
1,139073443,2022-10-06,3082219,811126,1VA02121XT
2,957908613,2021-08-03,3016036,452330,1VA01855TI
3,918427211,2023-03-16,2669326,147602,1VA01837D
4,268262738,2022-03-09,7284948,242020,1VA02038HO
5,537112903,2020-07-18,5345495,475277,3VA474TI
6,529570866,2021-12-08,668613,742231,1VA01581NA
7,135972303,2023-02-18,8553108,560826,1VA01910BE
8,880477286,2021-10-18,5278194,479148,1AK047DE
9,762847755,2021-09-14,7308507,189311,1VA02002XL
10,359327883,2021-08-03,7630354,967819,1CV0067NA
11,858942784,2020-08-03,1938564,314327,1VA1386NH
12,793852438,2020-08-18,3095052,99941,1VA01705DO
13,610515726,2021-11-16,4703217,302863,1VA01962TR
14,230983593,2023-06-24,2927070,472147,1VA02146HO
15,175388369,2020-08-05,8257800,17421,1VA01959XT
16,664724809,2022-05-18,3936301,452330,1AO0167TR
17,505489635,2022-12-15,869358,910927,1VA01763HO
18,238390274,2022-10-05,578283,117070,1VA01986XL
19,659233556,2020-09-18,618112,966289,1VA01811BE
20,411448840,2020-08-10,2477602,966416,1VA01958XT
21,765020377,2020-09-24,1830956,434304,1VA1404DO
22,780654936,2021-01-27,9551151,155723,1AK047DE
23,384739034,2021-11-23,7386369,178580,1VA01995DO
24,793189114,2022-03-22,6761184,985995,5VA874BE
25,889173293,2021-05-01,3698238,221833,1VA02134TI
26,249962974,2023-04-11,8497755,432022,1VA02068TR
27,83968519,2021-11-11,5053249,17421,1VA02139TI
28,260624283,2023-04-21,357075,475277,1VA01909DE
29,662950763,2022-04-02,571382,712375,1VA02126HO
30,408629930,2021-02-13,7383047,114237,1VA02082XT
31,455890325,2021-04-22,474194,285705,1VA01892DE
32,183651556,2023-05-31,7901131,382407,1VA02072DE
33,401935877,2021-10-05,8201059,378155,1VA02095XA
34,228484158,2021-10-07,3003441,529826,1VA02022HO
35,346005985,2023-03-21,687235,727937,1VA01835HO
36,967632515,2021-04-30,1403394,530376,1VA01792CA
37,776799720,2021-08-17,5475173,549277,1VA2093DE
38,588059510,2022-02-15,1934665,206254,1VA01740XT
39,662818798,2021-06-10,2172604,735359,1VA01890VA
40,950843989,2021-12-16,9768492,832469,1VA01849HO
41,707842249,2023-04-09,2351121,732201,1VA1374XA
42,986749820,2021-09-30,9827823,378155,1VA01851XL
43,333473714,2021-06-25,5232534,13388,1VA02142HO
44,529301630,2021-08-14,8837775,512682,1VA01979HO
45,764498570,2023-05-06,3698238,378155,1VA01927XT
46,789172104,2021-04-20,1542113,472147,1VA02050XL
47,103897275,2023-01-03,581176,206254,1VA01779BE
48,267706908,2021-07-03,1233264,439884,4VA1386NA
49,183397443,2021-03-11,9563450,957271,1VA01846VA
50,385651013,2020-11-26,2721349,965832,1VA02053XL
51,606041111,2020-10-27,9347545,147602,1VA01837D
52,904831390,2021-07-18,6976495,534688,1VA2173HO
53,824188850,2022-01-09,42316,296104,1VA02097DE
54,58197505,2022-02-05,6478558,985995,1VA01979HO
55,764355404,2022-03-12,1015064,771108,1VA02148HO
56,930051690,2023-02-18,7215918,756590,2VA01937XT
57,221278288,2023-07-01,2312936,250430,1VA02149DO
58,494660918,2021-04-29,5408930,695904,1VA01997XT
59,346152116,2022-12-10,6537627,518759,5VA775BE
60,225315221,2020-08-05,603722,323285,1VA01962TR
61,763264709,2023-04-03,5973400,249509,1VA02018HO
62,667332120,2021-02-04,2377992,529826,1VA02082XT
63,538035942,2021-11-08,3220386,965516,1VA01793XT
64,77462110,2021-07-01,8469616,331082,5VA492DE
65,88676791,2023-04-07,5824208,727937,1VA01849HO
66,672265320,2022-03-30,6773598,756590,1VA1374XA
67,927185883,2021-02-15,8835910,905164,1VA02145TR
68,373146734,2022-08-17,1717169,644637,1AO0184HO
69,978901915,2021-11-09,4490162,910927,3VALJ0035BE
70,717907647,2023-06-11,2748391,695904,1VA01958XT
71,558384346,2020-10-03,3821492,82057,3VA1101DO
72,141794984,2021-11-04,3364023,849343,1VA02164HO
73,542245010,2020-09-07,8497755,332271,1VA01861CA
74,639664752,2022-12-07,3450726,974253,3VA1101DO
75,699737760,2021-07-24,3917936,419271,1VA01984XL
76,689359473,2022-03-31,2243960,310936,2VA01708XT
77,740871567,2022-03-30,524675,668855,1VA2172BE
78,63255015,2022-10-27,652958,372797,2VA01667TI
79,12164802,2022-03-18,7676361,640413,1VA01984XL
80,23642699,2023-07-04,4323655,105539,1AO0178CA
81,499657330,2021-12-18,5731989,511819,7VA887XT
82,62618262,2021-04-13,509856,432022,1VA02071XT
83,61458571,2020-10-18,6694092,432022,3VA1101DO
84,390817834,2021-06-03,7412819,206254,1VA01849HO
85,406058028,2022-06-14,7463110,529826,1VA01849HO
86,12616318,2021-02-02,4335887,549277,1VA02143HO
87,938211058,2021-03-16,4781607,668855,1AO0184HO
88,295497390,2022-07-16,2668669,275015,1VA02081TR
89,415615725,2022-08-26,2580803,178580,3VA1101DO
90,740879943,2022-11-29,7326131,199833,1VA02022HO
91,478807120,2020-12-25,8387777,170489,1VA02002XL
92,740038096,2022-11-10,3078114,296808,1VA02143HO
93,770551736,2022-03-14,869358,248128,1VA01617BE
94,849232851,2022-10-28,5643127,278039,1VA02150DO
95,722543767,2022-01-04,5578037,644528,1VA01958DO
96,787632753,2021-04-23,5227959,756590,1VA02142HO
97,88756308,2022-06-26,7630354,469480,2VA01582XL
98,648626412,2021-04-19,6719544,196876,3VA1101DO
99,114983503,2020-11-03,5392160,735359,1VA01912BE
100,328520835,2023-05-12,7058068,983175,1VA01855TI
101,871945517,2020-09-29,3409418,727937,1VA01536XT
102,80522005,2023-06-21,7255950,372797,1VA01846VA
103,841821867,2022-10-20,6342293,430863,3VA474TI
104,434946687,2022-07-31,3781513,332271,1VA01960DO
105,550626987,2022-06-07,682996,874623,5VA579HO
106,471429489,2021-05-20,196818,17421,1VA02022HO
107,420837762,2022-08-29,3846873,547895,2VA01708XT
108,569526050,2020-09-10,4269960,285239,1VA02150DO
109,676172130,2022-09-09,9610177,249509,10VA218XA
110,904554312,2021-09-03,3016036,249823,1VA02146HO
111,169811781,2020-11-06,2408083,632667,3VALJ0035BE
112,942435038,2021-04-15,9320455,673860,1CV0067NA
113,557919359,2022-11-19,9759649,110670,7VA887XT
114,616299080,2023-02-10,2277797,726628,1VA02092TR
115,33061973,2022-08-04,197308,278039,1VA02126HO
116,477137999,2021-01-16,2667441,220086,1VA01940XL
117,757786171,2022-09-23,9373260,962707,1VA02134TI
118,427803062,2023-02-20,3089911,302863,1VA01844TR
119,894495387,2021-07-29,5200126,570491,1VA01921VA
120,461709464,2021-12-05,8257800,529826,1VA02174HO
121,534597685,2021-02-11,441858,591874,1VA02148HO
122,201398744,2022-10-22,6882504,332271,6VA251HO
123,50001882,2020-07-20,4382149,221833,1VA01890VA
124,894083616,2023-07-03,5028630,296808,1VA01835HO
125,462072583,2021-04-30,7655022,905923,1VA01811BE
126,7099891,2023-01-15,9205816,209163,5VA492DE
